,iso_code,month_year,new_vaccinations_smoothed,population,vaccinations_person,per_milion,per_ten_million
199,ARM,2021-07,85342.0,2780472.0,0.030693349906059115,30693.349906059117,306933.49906059116
200,ARM,2021-08,108731.0,2780472.0,0.039105231054295815,39105.231054295815,391052.31054295815
201,ARM,2021-09,146487.0,2780472.0,0.05268422052083244,52684.22052083244,526842.2052083244
202,ARM,2021-10,363305.0,2780472.0,0.13066306727778593,130663.06727778593,1306630.6727778593
203,ARM,2021-11,437568.0,2780472.0,0.15737184190310136,157371.84190310136,1573718.4190310135
204,ARM,2021-12,418445.0,2780472.0,0.15049423263388376,150494.23263388374,1504942.3263388376
205,ARM,2022-01,231142.0,2780472.0,0.08313049007506638,83130.49007506638,831304.9007506638
206,ARM,2022-02,161359.0,2780472.0,0.05803295267853803,58032.95267853803,580329.5267853803
207,ARM,2022-03,99120.0,2780472.0,0.035648623686913586,35648.62368691358,356486.2368691359
208,ARM,2022-04,22219.0,2780472.0,0.00799108928268294,7991.0892826829395,79910.8928268294
209,ARM,2022-05,,2780472.0,,,
210,ARM,2022-06,,2780472.0,,,
211,ARM,2022-07,,2780472.0,,,
212,ARM,2022-08,,2780472.0,,,
213,ARM,2022-09,,2780472.0,,,
214,ARM,2022-10,,2780472.0,,,
215,ARM,2022-11,,2780472.0,,,
216,ATG,2020-12,,93772.0,,,
217,ATG,2021-01,,93772.0,,,
218,ATG,2021-02,,93772.0,,,
219,ATG,2021-03,18580.0,93772.0,0.19814016977349316,198140.16977349317,1981401.6977349317
220,ATG,2021-04,3568.0,93772.0,0.03804973766156209,38049.73766156209,380497.3766156209
221,ATG,2021-05,16565.0,93772.0,0.17665187902572196,176651.87902572195,1766518.7902572197
222,ATG,2021-06,16985.0,93772.0,0.18113082796570404,181130.82796570403,1811308.2796570405
223,ATG,2021-07,4947.0,93772.0,0.05275562001450326,52755.62001450326,527556.2001450326
224,ATG,2021-08,5234.0,93772.0,0.05581623512349102,55816.235123491024,558162.3512349102
225,ATG,2021-09,18246.0,93772.0,0.19457833894979312,194578.33894979313,1945783.389497931
226,ATG,2021-10,13762.0,93772.0,0.14676022693341295,146760.22693341295,1467602.2693341295
227,ATG,2021-11,11860.0,93772.0,0.1264769867337798,126476.9867337798,1264769.867337798
228,ATG,2021-12,3235.0,93772.0,0.03449857100200486,34498.57100200486,344985.7100200486
229,ATG,2022-01,2549.0,93772.0,0.027182954400034126,27182.954400034127,271829.54400034127
230,ATG,2022-02,1076.0,93772.0,0.011474640617668386,11474.640617668387,114746.40617668387
231,ATG,2022-03,913.0,93772.0,0.009736381862389626,9736.381862389626,97363.81862389625
232,ATG,2022-04,172.0,93772.0,0.0018342362325640916,1834.2362325640916,18342.362325640916
233,ATG,2022-05,156.0,93772.0,0.0016636096062790599,1663.6096062790598,16636.0960627906
234,ATG,2022-06,687.0,93772.0,0.007326280766113552,7326.280766113552,73262.80766113552
235,ATG,2022-07,1333.0,93772.0,0.01421533080237171,14215.33080237171,142153.3080237171
236,ATG,2022-08,4808.0,93772.0,0.051273301198652046,51273.30119865204,512733.0119865205
237,ATG,2022-09,,93772.0,,,
238,ATG,2022-10,,93772.0,,,
239,ATG,2022-11,,93772.0,,,
240,AUS,2020-12,,26177410.0,,,
241,AUS,2021-01,,26177410.0,,,
242,AUS,2021-02,,26177410.0,,,
243,AUS,2021-03,556918.0,26177410.0,0.02127475560034396,21274.75560034396,212747.55600343962
