,iso_code,month_year,new_deaths_smoothed,population,deaths_person,per_milion,per_ten_million
2027,ECU,2022-09,59.433,18001002.0,3.3016495415088558e-06,3.301649541508856,33.016495415088556
2028,ECU,2022-10,25.564,18001002.0,1.4201431675858933e-06,1.4201431675858933,14.201431675858933
2029,ECU,2022-11,,18001002.0,,,
2030,EGY,2020-01,,110990096.0,,,
2031,EGY,2020-02,,110990096.0,,,
2032,EGY,2020-03,,110990096.0,,,
2033,EGY,2020-04,306.859,110990096.0,2.764742180239217e-06,2.764742180239217,27.64742180239217
2034,EGY,2020-05,515.143,110990096.0,4.6413420527179295e-06,4.641342052717929,46.4134205271793
2035,EGY,2020-06,1847.57,110990096.0,1.6646260041076098e-05,16.646260041076097,166.46260041076098
2036,EGY,2020-07,1984.142,110990096.0,1.7876748210038488e-05,17.87674821003849,178.76748210038488
2037,EGY,2020-08,671.569,110990096.0,6.050711047227132e-06,6.050711047227132,60.50711047227132
2038,EGY,2020-09,524.2860000000001,110990096.0,4.723718772168645e-06,4.723718772168645,47.23718772168645
2039,EGY,2020-10,350.287,110990096.0,3.156020335363977e-06,3.156020335363977,31.56020335363977
2040,EGY,2020-11,376.0,110990096.0,3.3876896547598264e-06,3.3876896547598263,33.876896547598264
2041,EGY,2020-12,855.716,110990096.0,7.70984106545867e-06,7.7098410654586695,77.0984106545867
2042,EGY,2021-01,1699.999,110990096.0,1.531667293989907e-05,15.31667293989907,153.1667293989907
2043,EGY,2021-02,1377.286,110990096.0,1.2409089185759422e-05,12.409089185759422,124.09089185759422
2044,EGY,2021-03,1337.714,110990096.0,1.2052552869221772e-05,12.052552869221772,120.52552869221772
2045,EGY,2021-04,1284.859,110990096.0,1.1576339207779402e-05,11.576339207779402,115.76339207779402
2046,EGY,2021-05,1785.29,110990096.0,1.6085128892941943e-05,16.085128892941942,160.85128892941944
2047,EGY,2021-06,1139.144,110990096.0,1.0263474319366297e-05,10.263474319366297,102.63474319366297
2048,EGY,2021-07,416.143,110990096.0,3.7493705744699955e-06,3.7493705744699954,37.49370574469996
2049,EGY,2021-08,207.714,110990096.0,1.8714642791191027e-06,1.8714642791191027,18.71464279119103
2050,EGY,2021-09,508.855,110990096.0,4.584688349129818e-06,4.584688349129818,45.846883491298186
2051,EGY,2021-10,1262.715,110990096.0,1.1376825910665038e-05,11.376825910665039,113.76825910665038
2052,EGY,2021-11,1808.429,110990096.0,1.6293606953903347e-05,16.293606953903346,162.93606953903347
2053,EGY,2021-12,1371.858,110990096.0,1.2360183921275281e-05,12.360183921275281,123.60183921275281
2054,EGY,2022-01,865.003,110990096.0,7.793515197968656e-06,7.793515197968656,77.93515197968655
2055,EGY,2022-02,1431.716,110990096.0,1.2899493302537551e-05,12.899493302537552,128.9949330253755
2056,EGY,2022-03,430.715,110990096.0,3.880661568217762e-06,3.8806615682177625,38.80661568217762
2057,EGY,2022-04,220.0,110990096.0,1.9821588405509624e-06,1.9821588405509623,19.821588405509623
2058,EGY,2022-05,95.0,110990096.0,8.559322266015519e-07,0.8559322266015519,8.559322266015519
2059,EGY,2022-06,14.576,110990096.0,1.3132703299941286e-07,0.13132703299941287,1.3132703299941286
2060,EGY,2022-07,42.429,110990096.0,3.822773520260763e-07,0.3822773520260763,3.822773520260763
2061,EGY,2022-08,26.855999999999998,110990096.0,2.419675355538029e-07,0.2419675355538029,2.419675355538029
2062,EGY,2022-09,5.146999999999999,110990096.0,4.637350705598092e-08,0.046373507055980916,0.46373507055980917
2063,EGY,2022-10,1.001,110990096.0,9.018822724506878e-09,0.009018822724506877,0.09018822724506878
2064,EGY,2022-11,,110990096.0,,,
2065,ERI,2020-01,,3684041.0,,,
2066,ERI,2020-02,,3684041.0,,,
2067,ERI,2020-03,,3684041.0,,,
2068,ERI,2020-04,,3684041.0,,,
2069,ERI,2020-05,,3684041.0,,,
2070,ERI,2020-06,,3684041.0,,,
2071,ERI,2020-07,,3684041.0,,,
2072,ERI,2020-08,,3684041.0,,,
2073,ERI,2020-09,,3684041.0,,,
2074,ERI,2020-10,,3684041.0,,,
2075,ERI,2020-11,,3684041.0,,,
2076,ERI,2020-12,,3684041.0,,,
2077,ERI,2021-01,5.72,3684041.0,1.5526428723241678e-06,1.5526428723241679,15.526428723241677
2078,ERI,2021-02,0.0,3684041.0,0.0,0.0,0.0
2079,ERI,2021-03,2.145,3684041.0,5.822410771215629e-07,0.5822410771215629,5.82241077121563
2080,ERI,2021-04,0.8579999999999999,3684041.0,2.3289643084862515e-07,0.23289643084862516,2.3289643084862517
