,iso_code,month_count,total_vaccinations,population,vac_month,vac_person,vac_honderdduizend,continent,location
2980,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2981,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2982,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2983,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2984,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2985,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2986,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2987,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2988,LUX,22.0,1361014.0,647601.0,61864.27272727273,0.09552837739174697,9552.837739174696,Europa,Luxembourg
2989,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2990,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2991,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2992,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2993,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2994,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2995,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2996,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2997,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2998,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
2999,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3000,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3001,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3002,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3003,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3004,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3005,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3006,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3007,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3008,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3009,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
